"Story","Title","Result","Date","Stability","Duration (s)"
"Login Success - AC1","The one where I successfully login with valid username and password","SUCCESS","2021-03-07T23:39:49.0477719Z[Europe/London]","0.0","6.56"
"Login Accessibility - AC2","The one where pressing the enter key while on the login button will log me in successfully","SUCCESS","2021-03-07T23:39:55.6081854Z[Europe/London]","0.0","8.73"
